Binding Energy,CPS
700,0
699.9,0
699.8,0
699.7,0
699.6,0
699.5,0
699.4,0
699.3,0
699.2,0
699.1,0
699,0
698.9,0
698.8,0
698.7,0
698.6,0
698.5,0
698.4,0
698.3,0
698.2,0
698.1,0
698,0
697.9,0
697.8,0
697.7,0
697.6,0
697.5,0
697.4,0
697.3,0
697.2,0
697.1,0
697,0
696.9,0
696.8,0
696.7,0
696.6,0
696.5,0
696.4,0
696.3,0
696.2,0
696.1,0
696,0
695.9,0
695.8,0
695.7,0
695.6,0
695.5,0
695.4,0
695.3,0
695.2,0
695.1,0
695,0
694.9,0
694.8,0
694.7,0
694.6,0
694.5,0
694.4,0
694.3,0
694.2,0
694.1,0
694,0
693.9,0
693.8,0
693.7,0
693.6,0
693.5,0
693.4,0
693.3,0
693.2,0
693.1,0
693,0
692.9,0
692.8,0
692.7,0
692.6,0
692.5,0
692.4,0
692.3,0
692.2,0
692.1,0
692,0
691.9,0
691.8,0
691.7,0
691.6,0
691.5,0
691.4,0
691.3,0
691.2,0
691.1,0
691,0
690.9,0
690.8,0
690.7,0
690.6,0
690.5,0
690.4,0
690.3,0
690.2,0
690.1,0
690,0
689.9,0
689.8,0
689.7,0
689.6,0
689.5,0
689.4,0
689.3,0
689.2,0
689.1,0
689,0
688.9,0
688.8,0
688.7,0
688.6,0
688.5,0
688.4,0
688.3,0
688.2,0
688.1,0
688,0
687.9,0
687.8,0
687.7,0
687.6,0
687.5,0
687.4,0
687.3,0
687.2,0
687.1,0
687,0
686.9,0
686.8,0
686.7,0
686.6,0
686.5,0
686.4,0
686.3,0
686.2,0
686.1,0
686,0
685.9,0
685.8,0
685.7,0
685.6,0
685.5,0
685.4,0
685.3,0
685.2,0
685.1,0
685,0
684.9,0
684.8,0
684.7,0
684.6,0
684.5,0
684.4,0
684.3,0
684.2,0
684.1,0
684,0
683.9,0
683.8,0
683.7,0
683.6,0
683.5,0
683.4,0
683.3,0
683.2,0
683.1,0
683,0
682.9,0
682.8,0
682.7,0
682.6,0
682.5,0
682.4,0
682.3,0
682.2,0
682.1,0
682,0
540,0
539.9,0
539.8,0
539.7,0
539.6,0
539.5,0
539.4,0
539.3,0
539.2,0
539.1,0
539,0
538.9,0
538.8,0
538.7,0
538.6,0
538.5,0
538.4,0
538.3,0
538.2,0
538.1,0
538,0
537.9,0
537.8,0
537.7,0
537.6,0
537.5,0
537.4,0
537.3,0
537.2,0
537.1,0
537,0
536.9,-0.002878971
536.8,0.005919907
536.7,0.005601977
536.6,0.013282699
536.5,0.014565219
536.4,0.003688394
536.3,0.017608154
536.2,0.00833298
536.1,0.009134405
536,0.015375842
535.9,0.004819747
535.8,0.009940629
535.7,0.01442205
535.6,0.020504322
535.5,0.011069182
535.4,0.027390818
535.3,0.021156979
535.2,0.023560454
535.1,0.04276386
535,0.044851804
534.9,0.048701764
534.8,0.063591312
534.7,0.087921998
534.6,0.114658159
534.5,0.155797574
534.4,0.201426009
534.3,0.276980707
534.2,0.34551094
534.1,0.458694221
534,0.560379213
533.9,0.677603611
533.8,0.770534515
533.7,0.879001626
533.6,0.945094391
533.5,1
533.4,0.996040465
533.3,0.947763009
533.2,0.862678791
533.1,0.74446061
533,0.615817505
532.9,0.501068567
532.8,0.37861611
532.7,0.295337098
532.6,0.215242991
532.5,0.17064873
532.4,0.123485431
532.3,0.091192484
532.2,0.076331729
532.1,0.052828062
532,0.054598476
531.9,0.043890014
531.8,0.044377508
531.7,0.035906958
531.6,0.027754338
531.5,0.02312055
531.4,0.011926195
531.3,0.016728746
531.2,0.007292807
531.1,0.00105417
531,0.013053949
530.9,0.005217261
530.8,0
530.7,0
530.6,0
530.5,0
530.4,0
530.3,0
530.2,0
530.1,0
530,0
529.9,0
529.8,0
529.7,0
529.6,0
529.5,0
529.4,0
529.3,0
529.2,0
529.1,0
529,0
528.9,0
528.8,0
528.7,0
528.6,0
528.5,0
528.4,0
528.3,0
528.2,0
528.1,0
528,0
527.9,0
527.8,0
527.7,0
527.6,0
527.5,0
527.4,0
527.3,0
527.2,0
527.1,0
527,0
526.9,0
526.8,0
526.7,0
526.6,0
526.5,0
526.4,0
526.3,0
526.2,0
526.1,0
526,0
525.9,0
525.8,0
525.7,0
525.6,0
525.5,0
525.4,0
525.3,0
525.2,0
525.1,0
525,0
524.9,0
524.8,0
524.7,0
524.6,0
524.5,0
524.4,0
524.3,0
524.2,0
524.1,0
524,0
523.9,0
523.8,0
523.7,0
523.6,0
523.5,0
523.4,0
523.3,0
523.2,0
523.1,0
523,0
522.9,0
522.8,0
522.7,0
522.6,0
522.5,0
522.4,0
522.3,0
522.2,0
522.1,0
522,0
521.9,0
521.8,0
521.7,0
521.6,0
521.5,0
521.4,0
521.3,0
521.2,0
521.1,0
521,0
520.9,0
520.8,0
520.7,0
520.6,0
520.5,0
520.4,0
520.3,0
520.2,0
520.1,0
520,0
410,0
409.9,0
409.8,0
409.7,0
409.6,0
409.5,0
409.4,0
409.3,0
409.2,0
409.1,0
409,0
408.9,0
408.8,0
408.7,0
408.6,0
408.5,0
408.4,0
408.3,0
408.2,0
408.1,0
408,0
407.9,0
407.8,0
407.7,0
407.6,0
407.5,0
407.4,0
407.3,0
407.2,0
407.1,0
407,0
406.9,0
406.8,0
406.7,0
406.6,0
406.5,0
406.4,0
406.3,0
406.2,0
406.1,0
406,0
405.9,0
405.8,0
405.7,0
405.6,0
405.5,0
405.4,0
405.3,0
405.2,0
405.1,0
405,0
404.9,0
404.8,0
404.7,0
404.6,0
404.5,0
404.4,0
404.3,0
404.2,0
404.1,0
404,0
403.9,0
403.8,0
403.7,0
403.6,0
403.5,0
403.4,0
403.3,0
403.2,0
403.1,0
403,0
402.9,0
402.8,0
402.7,0
402.6,0
402.5,0
402.4,0
402.3,0
402.2,0
402.1,0
402,0
401.9,0
401.8,0
401.7,0
401.6,0
401.5,0
401.4,0
401.3,0
401.2,0
401.1,0
401,0
400.9,0
400.8,0
400.7,0
400.6,0
400.5,0
400.4,0
400.3,0
400.2,0
400.1,0
400,0
399.9,0
399.8,0
399.7,0
399.6,0
399.5,0
399.4,0
399.3,0
399.2,0
399.1,0
399,0
398.9,0
398.8,0
398.7,0
398.6,0
398.5,0
398.4,0
398.3,0
398.2,0
398.1,0
398,0
397.9,0
397.8,0
397.7,0
397.6,0
397.5,0
397.4,0
397.3,0
397.2,0
397.1,0
397,0
396.9,0
396.8,0
396.7,0
396.6,0
396.5,0
396.4,0
396.3,0
396.2,0
396.1,0
396,0
395.9,0
395.8,0
395.7,0
395.6,0
395.5,0
395.4,0
395.3,0
395.2,0
395.1,0
395,0
394.9,0
394.8,0
394.7,0
394.6,0
394.5,0
394.4,0
394.3,0
394.2,0
394.1,0
394,0
393.9,0
393.8,0
393.7,0
393.6,0
393.5,0
393.4,0
393.3,0
393.2,0
393.1,0
393,0
392.9,0
392.8,0
392.7,0
392.6,0
392.5,0
392.4,0
392.3,0
392.2,0
392.1,0
392,0
300,0
299.9,0
299.8,0
299.7,0
299.6,0
299.5,0
299.4,0
299.3,0
299.2,0
299.1,0
299,0
298.9,0
298.8,0
298.7,0
298.6,0
298.5,0
298.4,0
298.3,0
298.2,0
298.1,0
298,0
297.9,0
297.8,0
297.7,0
297.6,0
297.5,0
297.4,0
297.3,0
297.2,0
297.1,0
297,0
296.9,0
296.8,0
296.7,0
296.6,0
296.5,0
296.4,0
296.3,0
296.2,0
296.1,0
296,0
295.9,0
295.8,0
295.7,0
295.6,0
295.5,0
295.4,0
295.3,0
295.2,0
295.1,0
295,0
294.9,0
294.8,0
294.7,0
294.6,0
294.5,0
294.4,0
294.3,0
294.2,0
294.1,0
294,0
293.9,0
293.8,0
293.7,0
293.6,0
293.5,0
293.4,0
293.3,0
293.2,0
293.1,0.001034574
293,-0.005088889
292.9,-0.002320293
292.8,-0.001450883
292.7,-0.001378099
292.6,0.004048316
292.5,0.007334398
292.4,0.008920052
292.3,0.016292842
292.2,0.030365768
292.1,0.026893326
292,0.055551867
291.9,0.050232629
291.8,0.059048304
291.7,0.068845764
291.6,0.082903894
291.5,0.088572256
291.4,0.092524993
291.3,0.09546595
291.2,0.094067056
291.1,0.091835543
291,0.079071931
290.9,0.064175184
290.8,0.058978719
290.7,0.051669915
290.6,0.033255137
290.5,0.027961093
290.4,0.02101661
290.3,0.017616553
290.2,0.014292878
290.1,0.012038571
290,0
289.9,0
289.8,0
289.7,0
289.6,0
289.5,0
289.4,0
289.3,0
289.2,0
289.1,0
289,0
288.9,0
288.8,0
288.7,0
288.6,0
288.5,0
288.4,0
288.3,0
288.2,0
288.1,0
288,0
287.9,0
287.8,0
287.7,0
287.6,0
287.5,0
287.4,0
287.3,0
287.2,0
287.1,0
287,0
286.9,0
286.8,0
286.7,0
286.6,0
286.5,0
286.4,0
286.3,0
286.2,0
286.1,0
286,0
285.9,0
285.8,0
285.7,0
285.6,0
285.5,0
285.4,0
285.3,0
285.2,0
285.1,0
285,0
284.9,0
284.8,0
284.7,0
284.6,0
284.5,0
284.4,0
284.3,0
284.2,0
284.1,0
284,0
283.9,0
283.8,0
283.7,0
283.6,0
283.5,0
283.4,0
283.3,0
283.2,0
283.1,0
283,0
282.9,0
282.8,0
282.7,0
282.6,0
282.5,0
282.4,0
282.3,0
282.2,0
282.1,0
282,0
281.9,0
281.8,0
281.7,0
281.6,0
281.5,0
281.4,0
281.3,0
281.2,0
281.1,0
281,0
280.9,0
280.8,0
280.7,0
280.6,0
280.5,0
280.4,0
280.3,0
280.2,0
280.1,0
280,0
279.9,0
279.8,0
279.7,0
279.6,0
279.5,0
279.4,0
279.3,0
279.2,0
279.1,0
279,0
278.9,0
278.8,0
278.7,0
278.6,0
278.5,0
278.4,0
278.3,0
278.2,0
278.1,0
278,0
277.9,0
277.8,0
277.7,0
277.6,0
277.5,0
277.4,0
277.3,0
277.2,0
277.1,0
277,0
276.9,0
276.8,0
276.7,0
276.6,0
276.5,0
276.4,0
276.3,0
276.2,0
276.1,0
276,0
275.9,0
275.8,0
275.7,0
275.6,0
275.5,0
275.4,0
275.3,0
275.2,0
275.1,0
275,0
210,0
209.9,0
209.8,0
209.7,0
209.6,0
209.5,0
209.4,0
209.3,0
209.2,0
209.1,0
209,0
208.9,0
208.8,0
208.7,0
208.6,0
208.5,0
208.4,0
208.3,0
208.2,0
208.1,0
208,0
207.9,0
207.8,0
207.7,0
207.6,0
207.5,0
207.4,0
207.3,0
207.2,0
207.1,0
207,0
206.9,0
206.8,0
206.7,0
206.6,0
206.5,0
206.4,0
206.3,0
206.2,0
206.1,0
206,0
205.9,0
205.8,0
205.7,0
205.6,0
205.5,0
205.4,0
205.3,0
205.2,0
205.1,0
205,0
204.9,0
204.8,0
204.7,0
204.6,0
204.5,0
204.4,0
204.3,0
204.2,0
204.1,0
204,0
203.9,0
203.8,0
203.7,0
203.6,0
203.5,0
203.4,0
203.3,0
203.2,0
203.1,0
203,0
202.9,0
202.8,0
202.7,0
202.6,0
202.5,0
202.4,0
202.3,0
202.2,0
202.1,0
202,0
201.9,0
201.8,0
201.7,0
201.6,0
201.5,0
201.4,0
201.3,0
201.2,0
201.1,0
201,0
200.9,0
200.8,0
200.7,0
200.6,0
200.5,0
200.4,0
200.3,0
200.2,0
200.1,0
200,0
199.9,0
199.8,0
199.7,0
199.6,0
199.5,0
199.4,0
199.3,0
199.2,0
199.1,0
199,0
198.9,0
198.8,0
198.7,0
198.6,0
198.5,0
198.4,0
198.3,0
198.2,0
198.1,0
198,0
197.9,0
197.8,0
197.7,0
197.6,0
197.5,0
197.4,0
197.3,0
197.2,0
197.1,0
197,0
196.9,0
196.8,0
196.7,0
196.6,0
196.5,0
196.4,0
196.3,0
196.2,0
196.1,0
196,0
90,0
89.9,0
89.8,0
89.7,0
89.6,0
89.5,0
89.4,0
89.3,0
89.2,0
89.1,0
89,0
88.9,0
88.8,0
88.7,0
88.6,0
88.5,0
88.4,0
88.3,0
88.2,0
88.1,0
88,0
87.9,0
87.8,0
87.7,0
87.6,0
87.5,0
87.4,0
87.3,0
87.2,0
87.1,0
87,0
86.9,0
86.8,0
86.7,0
86.6,0
86.5,0
86.4,0
86.3,0
86.2,0
86.1,0
86,0
85.9,0
85.8,0
85.7,0
85.6,0
85.5,0
85.4,0
85.3,0
85.2,0
85.1,0
85,0
84.9,0
84.8,0
84.7,0
84.6,0
84.5,0
84.4,0
84.3,0
84.2,0
84.1,0
84,0
83.9,0
83.8,0
83.7,0
83.6,0
83.5,0
83.4,0
83.3,0
83.2,0
83.1,0
83,0
82.9,0
82.8,0
82.7,0
82.6,0
82.5,0
82.4,0
82.3,0
82.2,0
82.1,0
82,0
81.9,0
81.8,0
81.7,0
81.6,0
81.5,0
81.4,0
81.3,0
81.2,0
81.1,0
81,0
80.9,0
80.8,0
80.7,0
80.6,0
80.5,0
80.4,0
80.3,0
80.2,0
80.1,0
80,0
79.9,0
79.8,0
79.7,0
79.6,0
79.5,0
79.4,0
79.3,0
79.2,0
79.1,0
79,0
78.9,0
78.8,0
78.7,0
78.6,0
78.5,0
78.4,0
78.3,0
78.2,0
78.1,0
78,0
77.9,0
77.8,0
77.7,0
77.6,0
77.5,0
77.4,0
77.3,0
77.2,0
77.1,0
77,0
76.9,0
76.8,0
76.7,0
76.6,0
76.5,0
76.4,0
76.3,0
76.2,0
76.1,0
76,0
75.9,0
75.8,0
75.7,0
75.6,0
75.5,0
75.4,0
75.3,0
75.2,0
75.1,0
75,0
74.9,0
74.8,0
74.7,0
74.6,0
74.5,0
74.4,0
74.3,0
74.2,0
74.1,0
74,0
73.9,0
73.8,0
73.7,0
73.6,0
73.5,0
73.4,0
73.3,0
73.2,0
73.1,0
73,0
72.9,0
72.8,0
72.7,0
72.6,0
72.5,0
72.4,0
72.3,0
72.2,0
72.1,0
72,0
71.9,0
71.8,0
71.7,0
71.6,0
71.5,0
71.4,0
71.3,0
71.2,0
71.1,0
71,0
70.9,0
70.8,0
70.7,0
70.6,0
70.5,0
70.4,0
70.3,0
70.2,0
70.1,0
70,0
69.9,0
69.8,0
69.7,0
69.6,0
69.5,0
69.4,0
69.3,0
69.2,0
69.1,0
69,0
68.9,0
68.8,0
68.7,0
68.6,0
68.5,0
68.4,0
68.3,0
68.2,0
68.1,0
68,0
67.9,0
67.8,0
67.7,0
67.6,0
67.5,0
67.4,0
67.3,0
67.2,0
67.1,0
67,0
66.9,0
66.8,0
66.7,0
66.6,0
66.5,0
66.4,0
66.3,0
66.2,0
66.1,0
66,0
65.9,0
65.8,0
65.7,0
65.6,0
65.5,0
65.4,0
65.3,0
65.2,0
65.1,0
65,0
64.9,0
64.8,0
64.7,0
64.6,0
64.5,0
64.4,0
64.3,0
64.2,0
64.1,0
64,0
63.9,0
63.8,0
63.7,0
63.6,0
63.5,0
63.4,0
63.3,0
63.2,0
63.1,0
63,0
62.9,0
62.8,0
62.7,0
62.6,0
62.5,0
62.4,0
62.3,0
62.2,0
62.1,0
62,0
61.9,0
61.8,0
61.7,0
61.6,0
61.5,0
61.4,0
61.3,0
61.2,0
61.1,0
61,0
