Binding Energy,CPS
700,0
699.9,0
699.8,0
699.7,0
699.6,0
699.5,0
699.4,0
699.3,0
699.2,0
699.1,0
699,0
698.9,0
698.8,0
698.7,0
698.6,0
698.5,0
698.4,0
698.3,0
698.2,0
698.1,0
698,0
697.9,0
697.8,0
697.7,0
697.6,0
697.5,0
697.4,0
697.3,0
697.2,0
697.1,0
697,0
696.9,0
696.8,0
696.7,0
696.6,0
696.5,0
696.4,0
696.3,0
696.2,0
696.1,0
696,0
695.9,0
695.8,0
695.7,0
695.6,0
695.5,0
695.4,0
695.3,0
695.2,0
695.1,0
695,0
694.9,0
694.8,0
694.7,0
694.6,0
694.5,0
694.4,0
694.3,0
694.2,0
694.1,0
694,0
693.9,0
693.8,0
693.7,0
693.6,0
693.5,0
693.4,0
693.3,0
693.2,0
693.1,0
693,0
692.9,0
692.8,0
692.7,0
692.6,0
692.5,0
692.4,0
692.3,0
692.2,0
692.1,0
692,0
691.9,0
691.8,0
691.7,0
691.6,0
691.5,0
691.4,0
691.3,0
691.2,0
691.1,0
691,0
690.9,0
690.8,0
690.7,0
690.6,0
690.5,0
690.4,0
690.3,0
690.2,0
690.1,0
690,0
689.9,0
689.8,0
689.7,0
689.6,0
689.5,0
689.4,0
689.3,0
689.2,0
689.1,0
689,0
688.9,0
688.8,0
688.7,0
688.6,0
688.5,0
688.4,0
688.3,0
688.2,0
688.1,0
688,0
687.9,0
687.8,0
687.7,0
687.6,0
687.5,0
687.4,0
687.3,0
687.2,0
687.1,0
687,0
686.9,0
686.8,0
686.7,0
686.6,0
686.5,0
686.4,0
686.3,0
686.2,0
686.1,0
686,0
685.9,0
685.8,0
685.7,0
685.6,0
685.5,0
685.4,0
685.3,0
685.2,0
685.1,0
685,0
684.9,0
684.8,0
684.7,0
684.6,0
684.5,0
684.4,0
684.3,0
684.2,0
684.1,0
684,0
683.9,0
683.8,0
683.7,0
683.6,0
683.5,0
683.4,0
683.3,0
683.2,0
683.1,0
683,0
682.9,0
682.8,0
682.7,0
682.6,0
682.5,0
682.4,0
682.3,0
682.2,0
682.1,0
682,0
540,0
539.9,0
539.8,0
539.7,0
539.6,0
539.5,0
539.4,0
539.3,0
539.2,0
539.1,0
539,0
538.9,0
538.8,0
538.7,0
538.6,0
538.5,0
538.4,0
538.3,0
538.2,0
538.1,0
538,0
537.9,0
537.8,0
537.7,0
537.6,0
537.5,0
537.4,0
537.3,0
537.2,0
537.1,-0.001913693
537,-0.00258625
536.9,0.001311442
536.8,0.003945762
536.7,0.004122371
536.6,0.007523269
536.5,0.005248734
536.4,0.010088343
536.3,0.014007211
536.2,0.015472392
536.1,0.016183701
536,0.026389572
535.9,0.028561191
535.8,0.034384859
535.7,0.048273483
535.6,0.060320625
535.5,0.062723912
535.4,0.067501898
535.3,0.087567197
535.2,0.083317981
535.1,0.09127388
535,0.091442019
534.9,0.093559216
534.8,0.094326006
534.7,0.086787278
534.6,0.082956503
534.5,0.080142609
534.4,0.074775077
534.3,0.072623575
534.2,0.075642878
534.1,0.084266886
534,0.09434337
533.9,0.111390213
533.8,0.123982431
533.7,0.151950053
533.6,0.18564965
533.5,0.222383161
533.4,0.28309724
533.3,0.340703922
533.2,0.408339866
533.1,0.473641345
533,0.553144433
532.9,0.626178191
532.8,0.663297109
532.7,0.716094676
532.6,0.759917557
532.5,0.754697199
532.4,0.753378981
532.3,0.711846942
532.2,0.653447846
532.1,0.587223508
532,0.502556391
531.9,0.432746922
531.8,0.352711253
531.7,0.274136318
531.6,0.219429293
531.5,0.157066647
531.4,0.115451174
531.3,0.084367261
531.2,0.070104877
531.1,0.049618172
531,0.043007597
530.9,0.027906635
530.8,0.021343495
530.7,0.016124831
530.6,0.014286949
530.5,0.017282534
530.4,0.00823966
530.3,0.006218392
530.2,0.009200001
530.1,0.00056604
530,0.004215758
529.9,0.009481009
529.8,0.002285548
529.7,-1.27E-06
529.6,-0.000931753
529.5,0
529.4,0
529.3,0
529.2,0
529.1,0
529,0
528.9,0
528.8,0
528.7,0
528.6,0
528.5,0
528.4,0
528.3,0
528.2,0
528.1,0
528,0
527.9,0
527.8,0
527.7,0
527.6,0
527.5,0
527.4,0
527.3,0
527.2,0
527.1,0
527,0
526.9,0
526.8,0
526.7,0
526.6,0
526.5,0
526.4,0
526.3,0
526.2,0
526.1,0
526,0
525.9,0
525.8,0
525.7,0
525.6,0
525.5,0
525.4,0
525.3,0
525.2,0
525.1,0
525,0
524.9,0
524.8,0
524.7,0
524.6,0
524.5,0
524.4,0
524.3,0
524.2,0
524.1,0
524,0
523.9,0
523.8,0
523.7,0
523.6,0
523.5,0
523.4,0
523.3,0
523.2,0
523.1,0
523,0
522.9,0
522.8,0
522.7,0
522.6,0
522.5,0
522.4,0
522.3,0
522.2,0
522.1,0
522,0
521.9,0
521.8,0
521.7,0
521.6,0
521.5,0
521.4,0
521.3,0
521.2,0
521.1,0
521,0
520.9,0
520.8,0
520.7,0
520.6,0
520.5,0
520.4,0
520.3,0
520.2,0
520.1,0
520,0
410,0
409.9,0
409.8,0
409.7,0.000988293
409.6,0.000141457
409.5,0.006918689
409.4,-0.000704744
409.3,-0.00155158
409.2,-0.000280796
409.1,-0.004515613
409,0.000482182
408.9,-0.002143455
408.8,0.005395908
408.7,-0.001210643
408.6,-0.001464546
408.5,-0.000193762
408.4,0.004804457
408.3,0.01031154
408.2,0.007178521
408.1,0.003621766
408,0.010569043
407.9,0.011672111
407.8,0.013198915
407.7,0.021248837
407.6,0.023369845
407.5,0.025745604
407.4,0.028714507
407.3,0.024568207
407.2,0.035415293
407.1,0.033218262
407,0.041356065
406.9,0.051443772
406.8,0.059245509
406.7,0.067302419
406.6,0.073920617
406.5,0.087825124
406.4,0.095971609
406.3,0.113691855
406.2,0.141665407
406.1,0.162866174
406,0.195336915
405.9,0.221459032
405.8,0.23394685
405.7,0.260838086
405.6,0.274687111
405.5,0.283201639
405.4,0.275875943
405.3,0.258129438
405.2,0.240379757
405.1,0.207124225
405,0.173440087
404.9,0.135430074
404.8,0.107494851
404.7,0.081589155
404.6,0.05373059
404.5,0.038574782
404.4,0.028330794
404.3,0.018592918
404.2,0.011310422
404.1,0.008262319
404,0.009110638
403.9,0.003944703
403.8,0.00225103
403.7,0.000472441
403.6,-0.004355098
403.5,-3.52E-05
403.4,-0.004862903
403.3,-0.000373336
403.2,-0.005709316
403.1,-0.001558569
403,0.001067281
402.9,-0.001049916
402.8,-0.000880295
402.7,-0.004098654
402.6,-0.001980822
402.5,-0.003674495
402.4,-0.00121742
402.3,0.00191687
402.2,-0.002741683
402.1,0.001832589
402,0.003188289
401.9,0.000477947
401.8,-0.000792413
401.7,0.004544413
401.6,-0.000961188
401.5,0.003528802
401.4,0.00183513
401.3,0.00149631
401.2,0.000310655
401.1,0
401,0
400.9,0
400.8,0
400.7,0
400.6,0
400.5,0
400.4,0
400.3,0
400.2,0
400.1,0
400,0
399.9,0
399.8,0
399.7,0
399.6,0
399.5,0
399.4,0
399.3,0
399.2,0
399.1,0
399,0
398.9,0
398.8,0
398.7,0
398.6,0
398.5,0
398.4,0
398.3,0
398.2,0
398.1,0
398,0
397.9,0
397.8,0
397.7,0
397.6,0
397.5,0
397.4,0
397.3,0
397.2,0
397.1,0
397,0
396.9,0
396.8,0
396.7,0
396.6,0
396.5,0
396.4,0
396.3,0
396.2,0
396.1,0
396,0
395.9,0
395.8,0
395.7,0
395.6,0
395.5,0
395.4,0
395.3,0
395.2,0
395.1,0
395,0
394.9,0
394.8,0
394.7,0
394.6,0
394.5,0
394.4,0
394.3,0
394.2,0
394.1,0
394,0
393.9,0
393.8,0
393.7,0
393.6,0
393.5,0
393.4,0
393.3,0
393.2,0
393.1,0
393,0
392.9,0
392.8,0
392.7,0
392.6,0
392.5,0
392.4,0
392.3,0
392.2,0
392.1,0
392,0
300,0
299.9,0
299.8,0
299.7,0
299.6,0
299.5,0
299.4,0
299.3,0
299.2,0
299.1,0
299,0
298.9,0
298.8,0
298.7,0
298.6,0
298.5,0
298.4,0
298.3,0
298.2,0
298.1,0
298,0
297.9,0
297.8,0
297.7,0
297.6,0
297.5,0
297.4,0
297.3,0
297.2,0
297.1,0
297,0
296.9,0
296.8,0
296.7,0
296.6,0
296.5,0
296.4,0
296.3,0
296.2,0
296.1,0
296,0
295.9,0
295.8,0
295.7,0
295.6,0
295.5,0
295.4,0
295.3,0
295.2,0
295.1,0
295,0
294.9,0
294.8,0
294.7,0
294.6,0
294.5,0
294.4,0
294.3,-8.39E-05
294.2,0.001113445
294.1,0.000471382
294,-0.000268514
293.9,0.000844719
293.8,0.006370861
293.7,0.00458253
293.6,0.00527838
293.5,0.002880811
293.4,0.0037304
293.3,0.009628819
293.2,0.011951425
293.1,0.015185455
293,0.01835765
292.9,0.022706395
292.8,0.021663467
292.7,0.021841135
292.6,0.023454127
292.5,0.027739766
292.4,0.029096526
292.3,0.033760161
292.2,0.031711363
292.1,0.035441975
292,0.040191797
291.9,0.038398385
291.8,0.037220564
291.7,0.037619947
291.6,0.041427852
291.5,0.037641759
291.4,0.037837215
291.3,0.037083342
291.2,0.045315379
291.1,0.036879627
291,0.041248066
290.9,0.044329839
290.8,0.044977407
290.7,0.044181605
290.6,0.045092606
290.5,0.043142277
290.4,0.039390701
290.3,0.036504173
290.2,0.037503055
290.1,0.034070604
290,0.033650045
289.9,0.030991372
289.8,0.026927871
289.7,0.027171821
289.6,0.027678356
289.5,0.024397738
289.4,0.024152306
289.3,0.019005642
289.2,0.017965467
289.1,0.019678833
289,0.017559307
288.9,0.016010268
288.8,0.013481406
288.7,0.014239726
288.6,0.008919417
288.5,0.011169176
288.4,0.005170805
288.3,0.003835222
288.2,0.00227623
288.1,0.000762979
288,-0.000903589
287.9,-0.000508017
287.8,8.49E-05
287.7,0.002967209
287.6,0.002800129
287.5,0.00220889
287.4,0.003566284
287.3,0.004332016
287.2,0.008234155
287.1,0.009936086
287,0.014350265
286.9,0.021735466
286.8,0.027007282
286.7,0.046099322
286.6,0.060205214
286.5,0.084323003
286.4,0.106173244
286.3,0.141432468
286.2,0.175193265
286.1,0.204657409
286,0.258554868
285.9,0.304358359
285.8,0.336213932
285.7,0.394877307
285.6,0.457230636
285.5,0.539805331
285.4,0.617361691
285.3,0.72506661
285.2,0.857778294
285.1,1
285,0
284.9,0
284.8,0
284.7,0
284.6,0
284.5,0
284.4,0
284.3,0
284.2,0
284.1,0
284,0
283.9,0
283.8,0
283.7,0
283.6,0
283.5,0
283.4,0
283.3,0
283.2,0
283.1,0
283,0
282.9,0
282.8,0
282.7,0
282.6,0
282.5,0
282.4,0
282.3,0
282.2,0
282.1,0
282,0
281.9,0
281.8,0
281.7,0
281.6,0
281.5,0
281.4,0
281.3,0
281.2,0
281.1,0
281,0
280.9,0
280.8,0
280.7,0
280.6,0
280.5,0
280.4,0
280.3,0
280.2,0
280.1,0
280,0
279.9,0
279.8,0
279.7,0
279.6,0
279.5,0
279.4,0
279.3,0
279.2,0
279.1,0
279,0
278.9,0
278.8,0
278.7,0
278.6,0
278.5,0
278.4,0
278.3,0
278.2,0
278.1,0
278,0
277.9,0
277.8,0
277.7,0
277.6,0
277.5,0
277.4,0
277.3,0
277.2,0
277.1,0
277,0
276.9,0
276.8,0
276.7,0
276.6,0
276.5,0
276.4,0
276.3,0
276.2,0
276.1,0
276,0
275.9,0
275.8,0
275.7,0
275.6,0
275.5,0
275.4,0
275.3,0
275.2,0
275.1,0
275,0
210,0
209.9,0
209.8,0
209.7,0
209.6,0
209.5,0
209.4,0
209.3,0
209.2,0
209.1,0
209,0
208.9,0
208.8,0
208.7,0
208.6,0
208.5,0
208.4,0
208.3,0
208.2,0
208.1,0
208,0
207.9,0
207.8,0
207.7,0
207.6,0
207.5,0
207.4,0
207.3,0
207.2,0
207.1,0
207,0
206.9,0
206.8,0
206.7,0
206.6,0
206.5,0
206.4,0
206.3,0
206.2,0
206.1,0
206,0
205.9,0
205.8,0
205.7,0
205.6,0
205.5,0
205.4,0
205.3,0
205.2,0
205.1,0
205,0
204.9,0
204.8,0
204.7,0
204.6,0
204.5,0
204.4,0
204.3,0
204.2,0
204.1,0
204,0
203.9,0
203.8,0
203.7,0
203.6,0
203.5,0
203.4,0
203.3,0
203.2,0
203.1,0
203,0
202.9,0
202.8,0
202.7,0
202.6,0
202.5,0
202.4,0
202.3,0
202.2,0
202.1,0
202,0
201.9,0
201.8,0
201.7,0
201.6,0
201.5,0
201.4,0
201.3,0
201.2,0
201.1,0
201,0
200.9,0
200.8,0
200.7,0
200.6,0
200.5,0
200.4,0
200.3,0
200.2,0
200.1,0
200,0
199.9,0
199.8,0
199.7,0
199.6,0
199.5,0
199.4,0
199.3,0
199.2,0
199.1,0
199,0
198.9,0
198.8,0
198.7,0
198.6,0
198.5,0
198.4,0
198.3,0
198.2,0
198.1,0
198,0
197.9,0
197.8,0
197.7,0
197.6,0
197.5,0
197.4,0
197.3,0
197.2,0
197.1,0
197,0
196.9,0
196.8,0
196.7,0
196.6,0
196.5,0
196.4,0
196.3,0
196.2,0
196.1,0
196,0
90,0
89.9,0
89.8,0
89.7,0
89.6,0
89.5,0
89.4,0
89.3,0
89.2,0
89.1,0
89,0
88.9,0
88.8,0
88.7,0
88.6,0
88.5,0
88.4,0
88.3,0
88.2,0
88.1,0
88,0
87.9,0
87.8,0
87.7,0
87.6,0
87.5,0
87.4,0
87.3,0
87.2,0
87.1,0
87,0
86.9,0
86.8,0
86.7,0
86.6,0
86.5,0
86.4,0
86.3,0
86.2,0
86.1,0
86,0
85.9,0
85.8,0
85.7,0
85.6,0
85.5,0
85.4,0
85.3,0
85.2,0
85.1,0
85,0
84.9,0
84.8,0
84.7,0
84.6,0
84.5,0
84.4,0
84.3,0
84.2,0
84.1,0
84,0
83.9,0
83.8,0
83.7,0
83.6,0
83.5,0
83.4,0
83.3,0
83.2,0
83.1,0
83,0
82.9,0
82.8,0
82.7,0
82.6,0
82.5,0
82.4,0
82.3,0
82.2,0
82.1,0
82,0
81.9,0
81.8,0
81.7,0
81.6,0
81.5,0
81.4,0
81.3,0
81.2,0
81.1,0
81,0
80.9,0
80.8,0
80.7,0
80.6,0
80.5,0
80.4,0
80.3,0
80.2,0
80.1,0
80,0
79.9,0
79.8,0
79.7,0
79.6,0
79.5,0
79.4,0
79.3,0
79.2,0
79.1,0
79,0
78.9,0
78.8,0
78.7,0
78.6,0
78.5,0
78.4,0
78.3,0
78.2,0
78.1,0
78,0
77.9,0
77.8,0
77.7,0
77.6,0
77.5,0
77.4,0
77.3,0
77.2,0
77.1,0
77,0
76.9,0
76.8,0
76.7,0
76.6,0
76.5,0
76.4,0
76.3,0
76.2,0
76.1,0
76,0
75.9,0
75.8,0
75.7,0
75.6,0
75.5,0
75.4,0
75.3,0
75.2,0
75.1,0
75,0
74.9,0
74.8,0
74.7,0
74.6,0
74.5,0
74.4,0
74.3,0
74.2,0
74.1,0
74,0
73.9,0
73.8,0
73.7,0
73.6,0
73.5,0
73.4,0
73.3,0
73.2,0
73.1,0
73,0
72.9,0
72.8,0
