Binding Energy,CPS
700,0
699.9,0
699.8,0
699.7,0
699.6,0
699.5,0
699.4,0
699.3,0
699.2,0
699.1,0
699,0
698.9,0
698.8,0
698.7,0
698.6,0
698.5,0
698.4,0
698.3,0
698.2,0
698.1,0
698,0
697.9,0
697.8,0
697.7,0
697.6,0
697.5,0
697.4,0
697.3,0
697.2,0
697.1,0
697,0
696.9,0
696.8,0
696.7,0
696.6,0
696.5,0
696.4,0
696.3,0
696.2,0
696.1,0
696,0
695.9,0
695.8,0
695.7,0
695.6,0
695.5,0
695.4,0
695.3,0
695.2,0
695.1,0
695,0
694.9,0
694.8,0
694.7,0
694.6,0
694.5,0
694.4,0
694.3,0
694.2,0
694.1,0
694,0
693.9,0
693.8,0
693.7,0
693.6,0
693.5,0
693.4,0
693.3,0
693.2,0
693.1,0
693,0
692.9,0
692.8,0
692.7,0
692.6,0
692.5,0
692.4,0
692.3,0
692.2,0
692.1,0
692,0
691.9,0
691.8,0
691.7,0
691.6,0
691.5,0
691.4,0
691.3,0
691.2,0
691.1,0
691,0
690.9,0
690.8,0
690.7,0
690.6,0
690.5,0
690.4,0
690.3,0
690.2,0
690.1,0
690,0
689.9,0
689.8,0
689.7,0
689.6,0
689.5,0
689.4,0
689.3,0
689.2,0
689.1,0
689,0
688.9,0
688.8,0
688.7,0
688.6,0
688.5,0
688.4,0
688.3,0
688.2,0
688.1,0
688,0
687.9,0
687.8,0
687.7,0
687.6,0
687.5,0
687.4,0
687.3,0
687.2,0
687.1,0
687,0
686.9,0
686.8,0
686.7,0
686.6,0
686.5,0
686.4,0
686.3,0
686.2,0
686.1,0
686,0
685.9,0
685.8,0
685.7,0
685.6,0
685.5,0
685.4,0
685.3,0
685.2,0
685.1,0
685,0
684.9,0
684.8,0
684.7,0
684.6,0
684.5,0
684.4,0
684.3,0
684.2,0
684.1,0
684,0
683.9,0
683.8,0
683.7,0
683.6,0
683.5,0
683.4,0
683.3,0
683.2,0
683.1,0
683,0
682.9,0
682.8,0
682.7,0
682.6,0
682.5,0
682.4,0
682.3,0
682.2,0
682.1,0
682,0
540,0.008012996
539.9,0.010152217
539.8,0.013148765
539.7,0.013294443
539.6,0.019425381
539.5,0.001903786
539.4,0.009456953
539.3,0.013876442
539.2,0.016302389
539.1,0.015024413
539,0.015027618
538.9,0.012466679
538.8,0.017030422
538.7,0.022592539
538.6,0.024165433
538.5,0.014766894
538.4,0.010353459
538.3,0.023467319
538.2,0.009224011
538.1,0.012647263
538,0.013221426
537.9,0.013652405
537.8,0.020068999
537.7,0.011665985
537.6,0.011954135
537.5,0.00041495
537.4,0.000699895
537.3,0.007113284
537.2,-0.002004229
537.1,0.006972949
537,-0.002571624
536.9,0.0019882
536.8,0.002986931
536.7,-0.004278086
536.6,-0.002852295
536.5,-0.00527183
536.4,0.003943988
536.3,-0.003317467
536.2,-0.003885219
536.1,0.00338336
536,-0.002454797
535.9,-0.0030197
535.8,0.000115759
535.7,-0.005435673
535.6,0.000123239
535.5,-0.002296297
535.4,-0.009127842
535.3,0.005551788
535.2,0.002846952
535.1,-0.004556263
535,0.000432047
534.9,-0.002699493
534.8,0.003714608
534.7,0.001582154
534.6,0.008998548
534.5,0.012289658
534.4,0.016581634
534.3,0.021730582
534.2,0.019478808
534.1,0.034474726
534,0.039357607
533.9,0.050236433
533.8,0.048583754
533.7,0.0567638
533.6,0.059538447
533.5,0.074433566
533.4,0.071519296
533.3,0.072883468
533.2,0.079239155
533.1,0.087600853
533,0.090977445
532.9,0.090085213
532.8,0.099024991
532.7,0.108406433
532.6,0.13733044
532.5,0.166999221
532.4,0.196994975
532.3,0.248684981
532.2,0.289885823
532.1,0.373769574
532,0.44662241
531.9,0.520408796
531.8,0.578741927
531.7,0.646696567
531.6,0.69163125
531.5,0.721350252
531.4,0.711895081
531.3,0.681753648
531.2,0.655863589
531.1,0.578307743
531,0.507801425
530.9,0.422822418
530.8,0.324767663
530.7,0.255553925
530.6,0.191385842
530.5,0.143117664
530.4,0.109193593
530.3,0.069109734
530.2,0.04836506
530.1,0.028026431
530,0.016654652
529.9,0.011254953
529.8,0.008702206
529.7,0.005287146
529.6,0.008999261
529.5,0.00972302
529.4,0.005309941
529.3,0.002607599
529.2,0.003322809
529.1,0
529,0
528.9,0
528.8,0
528.7,0
528.6,0
528.5,0
528.4,0
528.3,0
528.2,0
528.1,0
528,0
527.9,0
527.8,0
527.7,0
527.6,0
527.5,0
527.4,0
527.3,0
527.2,0
527.1,0
527,0
526.9,0
526.8,0
526.7,0
526.6,0
526.5,0
526.4,0
526.3,0
526.2,0
526.1,0
526,0
525.9,0
525.8,0
525.7,0
525.6,0
525.5,0
525.4,0
525.3,0
525.2,0
525.1,0
525,0
524.9,0
524.8,0
524.7,0
524.6,0
524.5,0
524.4,0
524.3,0
524.2,0
524.1,0
524,0
523.9,0
523.8,0
523.7,0
523.6,0
523.5,0
523.4,0
523.3,0
523.2,0
523.1,0
523,0
522.9,0
522.8,0
522.7,0
522.6,0
522.5,0
522.4,0
522.3,0
522.2,0
522.1,0
522,0
521.9,0
521.8,0
521.7,0
521.6,0
521.5,0
521.4,0
521.3,0
521.2,0
521.1,0
521,0
520.9,0
520.8,0
520.7,0
520.6,0
520.5,0
520.4,0
520.3,0
520.2,0
520.1,0
520,0
410,0
409.9,0
409.8,0
409.7,0
409.6,0
409.5,0
409.4,0
409.3,0
409.2,0
409.1,0
409,0
408.9,0
408.8,0
408.7,0
408.6,0
408.5,0
408.4,0
408.3,0
408.2,-0.000350482
408.1,-0.009042002
408,0.0063564
407.9,0.000921439
407.8,-0.002227198
407.7,-0.001332828
407.6,0.000973442
407.5,0.004963734
407.4,-0.005690698
407.3,0.002946326
407.2,0.00427773
407.1,0.01251049
407,0.012923303
406.9,0.015320043
406.8,0.016802823
406.7,0.014640806
406.6,0.025056241
406.5,0.018249985
406.4,0.01219527
406.3,0.01497989
406.2,0.01526804
406.1,0.013894964
406,0.023606942
405.9,0.015337495
405.8,0.019848167
405.7,0.016520371
405.6,0.007027444
405.5,0.01591807
405.4,0.01398294
405.3,0.01166278
405.2,0.007374008
405.1,0.022964748
405,0.010965022
404.9,0.01892744
404.8,0.011144537
404.7,0.005597379
404.6,0.009813846
404.5,0.00842296
404.4,0.020862214
404.3,0.011116755
404.2,0.010024349
404.1,0.006170118
404,0.008634888
403.9,0.010415791
403.8,0.00127014
403.7,0.008652341
403.6,0.012191352
403.5,0.015430102
403.4,0.009591945
403.3,0.010742053
403.2,0.00980316
403.1,-0.000427417
403,0.007643637
402.9,0.00436535
402.8,0.010630924
402.7,0.013191507
402.6,0.012760172
402.5,0.01147436
402.4,0.016028842
402.3,0.017021161
402.2,0.009181625
402.1,0.015303302
402,0.025981954
401.9,0.02198632
401.8,0.017705028
401.7,0.018838395
401.6,0.035784046
401.5,0.040615993
401.4,0.051998458
401.3,0.068219638
401.2,0.088709643
401.1,0.12856519
401,0.175958589
400.9,0.23259452
400.8,0.282660698
400.7,0.367465532
400.6,0.466915447
400.5,0.548956676
400.4,0.656470164
400.3,0.772920938
400.2,0.865974916
400.1,0.932651936
400,0.973666495
399.9,1
399.8,0.972482551
399.7,0.900249825
399.6,0.827609629
399.5,0.715534535
399.4,0.600792003
399.3,0.470844832
399.2,0.379109434
399.1,0.263900663
399,0.19459218
398.9,0.13356846
398.8,0.097916557
398.7,0.070823319
398.6,0.052141287
398.5,0.032183416
398.4,0.022343925
398.3,0.01307931
398.2,0.008089931
398.1,0.007660377
398,0.007088708
397.9,0.010219892
397.8,0.002952025
397.7,0.000813517
397.6,0.005941093
397.5,0.00437283
397.4,0.005083054
397.3,0.003799735
397.2,-0.000617261
397.1,0
397,0
396.9,0
396.8,0
396.7,0
396.6,0
396.5,0
396.4,0
396.3,0
396.2,0
396.1,0
396,0
395.9,0
395.8,0
395.7,0
395.6,0
395.5,0
395.4,0
395.3,0
395.2,0
395.1,0
395,0
394.9,0
394.8,0
394.7,0
394.6,0
394.5,0
394.4,0
394.3,0
394.2,0
394.1,0
394,0
393.9,0
393.8,0
393.7,0
393.6,0
393.5,0
393.4,0
393.3,0
393.2,0
393.1,0
393,0
392.9,0
392.8,0
392.7,0
392.6,0
392.5,0
392.4,0
392.3,0
392.2,0
392.1,0
392,0
300,0
299.9,0
299.8,0
299.7,0
299.6,0
299.5,0
299.4,0
299.3,0
299.2,0
299.1,0
299,0
298.9,0
298.8,0
298.7,0
298.6,0
298.5,0
298.4,0
298.3,0
298.2,0
298.1,0
298,0
297.9,0
297.8,0
297.7,0
297.6,0
297.5,0
297.4,0
297.3,0
297.2,0
297.1,0
297,0
296.9,0
296.8,0
296.7,0
296.6,0
296.5,0
296.4,0
296.3,0
296.2,0
296.1,0
296,0
295.9,0
295.8,0
295.7,0
295.6,0
295.5,0
295.4,0
295.3,0
295.2,0
295.1,0
295,0
294.9,0.000907192
294.8,0.004626787
294.7,0.002658532
294.6,0.001670843
294.5,-0.001601388
294.4,-0.002159167
294.3,0.00498083
294.2,0.006585068
294.1,0.014201991
294,0.01412755
293.9,0.011361807
293.8,0.01872228
293.7,0.025391763
293.6,0.037132902
293.5,0.040362749
293.4,0.047601408
293.3,0.047159744
293.2,0.062743004
293.1,0.062106153
293,0.067617693
292.9,0.064439493
292.8,0.059932739
292.7,0.054718966
292.6,0.050022012
292.5,0.043166603
292.4,0.044711714
292.3,0.043954474
292.2,0.0449126
292.1,0.039742994
292,0.047996056
291.9,0.049418998
291.8,0.047144072
291.7,0.050416304
291.6,0.054449694
291.5,0.051031072
291.4,0.059219309
291.3,0.059143443
291.2,0.063055019
291.1,0.057268151
291,0.05474568
290.9,0.053492993
290.8,0.047949753
290.7,0.044376905
290.6,0.042780147
290.5,0.043892855
290.4,0.039134638
290.3,0.025468342
290.2,0.022893156
290.1,0.016871566
290,0.017697192
289.9,0.02066667
289.8,0.03840518
289.7,0.060224451
289.6,0.07901868
289.5,0.116406963
289.4,0.147436354
289.3,0.189646612
289.2,0.241398949
289.1,0.283913029
289,0.288438661
288.9,0.308007226
288.8,0.319266453
288.7,0.293069722
288.6,0.260892005
288.5,0.223214502
288.4,0.171006965
288.3,0.122783666
288.2,0.082162686
288.1,0.067327762
288,0.037803591
287.9,0.024854999
287.8,0.019129395
287.7,0.003931878
287.6,-0.001329622
287.5,-0.000474076
287.4,0.005091959
287.3,0.007385406
287.2,0.017811526
287.1,0.042814696
287,0.063011921
286.9,0.095085277
286.8,0.134211722
286.7,0.191104103
286.6,0.260942938
286.5,0.322501286
286.4,0.418135081
286.3,0.494398347
286.2,0.577944082
286.1,0.652930797
286,0.708814118
285.9,0.755808594
285.8,0
285.7,0
285.6,0
285.5,0
285.4,0
285.3,0
285.2,0
285.1,0
285,0
284.9,0
284.8,0
284.7,0
284.6,0
284.5,0
284.4,0
284.3,0
284.2,0
284.1,0
284,0
283.9,0
283.8,0
283.7,0
283.6,0
283.5,0
283.4,0
283.3,0
283.2,0
283.1,0
283,0
282.9,0
282.8,0
282.7,0
282.6,0
282.5,0
282.4,0
282.3,0
282.2,0
282.1,0
282,0
281.9,0
281.8,0
281.7,0
281.6,0
281.5,0
281.4,0
281.3,0
281.2,0
281.1,0
281,0
280.9,0
280.8,0
280.7,0
280.6,0
280.5,0
280.4,0
280.3,0
280.2,0
280.1,0
280,0
279.9,0
279.8,0
279.7,0
279.6,0
279.5,0
279.4,0
279.3,0
279.2,0
279.1,0
279,0
278.9,0
278.8,0
278.7,0
278.6,0
278.5,0
278.4,0
278.3,0
278.2,0
278.1,0
278,0
277.9,0
277.8,0
277.7,0
277.6,0
277.5,0
277.4,0
277.3,0
277.2,0
277.1,0
277,0
276.9,0
276.8,0
276.7,0
276.6,0
276.5,0
276.4,0
276.3,0
276.2,0
276.1,0
276,0
275.9,0
275.8,0
275.7,0
275.6,0
275.5,0
275.4,0
275.3,0
275.2,0
275.1,0
275,0
210,0
209.9,0
209.8,0
209.7,0
209.6,0
209.5,0
209.4,0
209.3,0
209.2,0
209.1,0
209,0
208.9,0
208.8,0
208.7,0
208.6,0
208.5,0
208.4,0
208.3,0
208.2,0
208.1,0
208,0
207.9,0
207.8,0
207.7,0
207.6,0
207.5,0
207.4,0
207.3,0
207.2,0
207.1,0
207,0
206.9,0
206.8,0
206.7,0
206.6,0
206.5,0
206.4,0
206.3,0
206.2,0
206.1,0
206,0
205.9,0
205.8,0
205.7,0
205.6,0
205.5,0
205.4,0
205.3,0
205.2,0
205.1,0
205,0
204.9,0
204.8,0
204.7,0
204.6,0
204.5,0
204.4,0
204.3,0
204.2,0
204.1,0
204,0
203.9,0
203.8,0
203.7,0
203.6,0
203.5,0
203.4,0
203.3,0
203.2,0
203.1,0
203,0
202.9,0
202.8,0
202.7,0
202.6,0
202.5,0
202.4,0
202.3,0
202.2,0
202.1,0
202,0
201.9,0
201.8,0
201.7,0
201.6,0
201.5,0
201.4,0
201.3,0
201.2,0
201.1,0
201,0
200.9,0
200.8,0
200.7,0
200.6,0
200.5,0
200.4,0
200.3,0
200.2,0
200.1,0
200,0
199.9,0
199.8,0
199.7,0
199.6,0
199.5,0
199.4,0
199.3,0
199.2,0
199.1,0
199,0
198.9,0
198.8,0
198.7,0
198.6,0
198.5,0
198.4,0
198.3,0
198.2,0
198.1,0
198,0
197.9,0
197.8,0
197.7,0
197.6,0
197.5,0
197.4,0
197.3,0
197.2,0
197.1,0
197,0
196.9,0
196.8,0
196.7,0
196.6,0
196.5,0
196.4,0
196.3,0
196.2,0
196.1,0
196,0
90,0
89.9,0
89.8,0
89.7,0
89.6,0
89.5,0
89.4,0
89.3,0
89.2,0
89.1,0
89,0
88.9,0
88.8,0
88.7,0
88.6,0
88.5,0
88.4,0
88.3,0
88.2,0
88.1,0
88,0
87.9,0
87.8,0
87.7,0
87.6,0
87.5,0
87.4,0
87.3,0
87.2,0
87.1,0
87,0
86.9,0
86.8,0
86.7,0
86.6,0
86.5,0
86.4,0
86.3,0
86.2,0
86.1,0
86,0
85.9,0
85.8,0
85.7,0
85.6,0
85.5,0
85.4,0
85.3,0
85.2,0
85.1,0
85,0
84.9,0
84.8,0
84.7,0
84.6,0
84.5,0
84.4,0
84.3,0
84.2,0
84.1,0
84,0
83.9,0
83.8,0
83.7,0
83.6,0
83.5,0
83.4,0
83.3,0
83.2,0
83.1,0
83,0
82.9,0
82.8,0
82.7,0
82.6,0
82.5,0
82.4,0
82.3,0
82.2,0
82.1,0
82,0
81.9,0
81.8,0
81.7,0
81.6,0
81.5,0
81.4,0
81.3,0
81.2,0
81.1,0
81,0
80.9,0
80.8,0
80.7,0
80.6,0
80.5,0
80.4,0
80.3,0
80.2,0
80.1,0
80,0
79.9,0
79.8,0
79.7,0
79.6,0
79.5,0
79.4,0
79.3,0
79.2,0
79.1,0
79,0
78.9,0
78.8,0
78.7,0
78.6,0
78.5,0
78.4,0
78.3,0
78.2,0
78.1,0
78,0
77.9,0
77.8,0
77.7,0
77.6,0
77.5,0
77.4,0
77.3,0
77.2,0
77.1,0
77,0
76.9,0
76.8,0
76.7,0
76.6,0
76.5,0
