Class Name,MLP Sensitivity,CNNClassifier Sensitivity,STNClassifier Sensitivity
epoxide,0.05855855855854537,0.0,0.6306306306304886
anhydride,0.3749999999999163,0.055803571428558976,0.7924107142855374
alcohol (aliphatic),0.4353591160220754,0.242541436464075,0.7801104972375259
naphthalene,0.46563192904645995,0.028824833702876092,0.8802660753878314
carboxylic acid,0.5265957446807951,0.2765957446808216,0.843617021276506
alkene,0.5613103142983372,0.2908366533864413,0.8384240814519328
ketone (aromatic),0.5695931477514841,0.27194860813698674,0.8822269807278625
ester (aromatic),0.6625086625086166,0.4677754677754353,0.9216909216908578
siloxane,0.6840425531914166,0.4659574468084611,0.9457446808509632
ketone (aliphatic),0.6978954514595589,0.5369993211133376,0.9192124915138548
alcohol (aromatic),0.7073170731705749,0.41685144124159274,0.9467849223944685
ether (aromatic),0.7769738911607179,0.6064800251651272,0.9477823214847138
imide,0.8076923076922163,0.6142533936650889,0.9479638009048701
ether (aliphatic),0.8311956361491842,0.7691287041132129,0.9354268022998535
nitrile,0.8544303797467453,0.723628691983046,0.9567510548522197
benzene ring,0.8743570903747153,0.8303768237640303,0.9597984675133729
ester (aliphatic),0.8758474576271094,0.849364406779652,0.9390889830508375
amine,0.8987301587301302,0.7495238095237857,0.9593650793650489
sulfonate,0.9042553191487438,0.7765957446806858,0.9744680851061757
pyridine,0.9053191489360739,0.7159574468084344,0.9691489361701097
phenoxy,0.9111969111967352,0.7722007722006231,0.9787644787642897
phosphazene,0.9111969111967352,0.7779922779921278,0.9787644787642897
sulfide,0.9252934898611606,0.7588046958376992,0.9711846318035249
nitro (aromatic),0.9345991561179463,0.8248945147677584,0.9767932489449417
amide,0.942174033917127,0.8876841812621382,0.9752571587433702
sulfone,0.9457593688361986,0.8806706114397553,0.9802761341221913
nitrate,0.9628865979379458,0.8783505154637364,0.9917525773193832
alkyl halide (Cl),0.9650655021833534,0.9208515283842292,0.9858078602619549
chlorobenzene,0.968557758031376,0.8762816131236585,0.9870129870129195
bromobenzene,0.9753593429156109,0.9117043121148025,0.9794661190963081
alkyl halide (F),0.9863134657836209,0.9664459161147476,0.9951434878586757
alkane,0.9965426492595026,0.999535579751272,0.9924660715207133
