model,max_shift,best_test_loss,best_test_accuracy
MLPClassifier,0.0,0.011043587385863066,89.41
MLPClassifier,2.0,0.04524626132249832,58.25
MLPClassifier,3.0,0.05112684561610222,54.17999999999999
MLPClassifier,4.0,0.05891054313182831,48.24
MLPClassifier,5.0,0.06365907648801804,45.175
STNClassifier,3.0,0.026230719053745268,75.595
STNClassifier,5.0,0.03578163475394249,67.325
CNNClassifier,0.0,0.022334808364510537,80.05
CNNClassifier,3.0,0.07915415610074997,36.620000000000005
CNNClassifier,5.0,0.09694595246315002,27.544999999999998
CNNClassifier,1.0,0.056116343021392824,50.519999999999996
CNNClassifier,2.0,0.07163532460331917,40.69
CNNClassifier,4.0,0.0871620330452919,32.49
