class,true_positives,true_negatives,false_positives,false_negatives,precision,recall,f1_score,support
alkene,764,9080,33,123,0.9585947302382737,0.8613303269446605,0.9073634204274995,887
alkyne,0,10000,0,0,0.0,0.0,0.0,0
benzene ring,3916,5934,15,135,0.9961841770541593,0.9666748950876088,0.9812077173640569,4051
naphthalene,162,9822,1,15,0.9938650306742369,0.9152542372876186,0.952941176470308,177
amine,1304,8650,3,43,0.9977046671766643,0.9680772086116579,0.9826676714392998,1347
alcohol (aromatic),179,9807,2,12,0.9889502762425476,0.9371727748686194,0.9623655913975908,191
alcohol (aliphatic),658,9168,50,124,0.929378531073315,0.841432225063831,0.8832214765100078,782
ether (aromatic),1256,8678,0,66,0.9999999999999204,0.9500756429651324,0.974398758727658,1322
ether (aliphatic),2671,7143,41,145,0.9848820058996687,0.9485085227272391,0.9663531114326888,2816
alkyl halide (F),889,9104,0,7,0.9999999999998874,0.9921874999998892,0.9960784313724932,896
alkyl halide (Cl),725,9256,1,18,0.9986225895315428,0.9757738896364769,0.9870660313137517,743
alkyl halide (Br),0,10000,0,0,0.0,0.0,0.0,0
alkyl halide (I),0,10000,0,0,0.0,0.0,0.0,0
thiol,0,10000,0,0,0.0,0.0,0.0,0
aldehyde,0,10000,0,0,0.0,0.0,0.0,0
ketone (aromatic),172,9814,0,14,0.9999999999994187,0.9247311827952018,0.960893854748335,186
ketone (aliphatic),535,9421,4,40,0.9925788497215227,0.9304347826085337,0.9605026929981184,575
ester (aromatic),521,9428,4,47,0.9923809523807633,0.917253521126599,0.9533394327538012,568
ester (aliphatic),3640,6045,102,213,0.9727418492784347,0.944718401245758,0.9585253456221072,3853
carboxylic acid,360,9595,2,43,0.9944751381212723,0.8933002481387362,0.9411764705881122,403
amide,1436,8512,12,40,0.9917127071822519,0.972899728997224,0.9822161422708282,1476
nitrite,0,10000,0,0,0.0,0.0,0.0,0
nitrate,190,9808,0,2,0.9999999999994738,0.989583333332818,0.9947643979054988,192
nitrile,344,9643,0,13,0.9999999999997093,0.9635854341733996,0.9814550641938685,357
epoxide,151,9805,0,44,0.9999999999993379,0.7743589743585773,0.8728323699419444,195
imide,377,9595,0,28,0.9999999999997348,0.9308641975306344,0.9641943734014111,405
acid chloride,0,10000,0,0,0.0,0.0,0.0,0
anhydride,177,9797,2,24,0.9888268156419058,0.880597014924935,0.9315789473681759,201
nitro (aromatic),209,9787,0,4,0.9999999999995216,0.9812206572765347,0.9905213270139833,213
sulfide,411,9585,0,4,0.9999999999997568,0.9903614457828939,0.995157384987773,415
sulfone,424,9572,0,4,0.9999999999997642,0.9906542056072452,0.995305164319132,428
sulfonate,185,9811,0,4,0.9999999999994595,0.978835978835461,0.9893048128339601,189
azide,0,10000,0,0,0.0,0.0,0.0,0
chlorobenzene,548,9445,1,6,0.9981785063750458,0.989169675090074,0.9936536718040803,554
bromobenzene,190,9806,0,4,0.9999999999994738,0.9793814432984643,0.9895833333330757,194
siloxane,361,9598,2,39,0.9944903581264478,0.9024999999997744,0.9462647444297579,400
phosphazene,174,9818,0,8,0.9999999999994253,0.9560439560434308,0.977528089887366,182
phenoxy,174,9818,0,8,0.9999999999994253,0.9560439560434308,0.977528089887366,182
pyridine,345,9641,1,13,0.9971098265893072,0.9636871508377197,0.9801136363634971,358
alkane,9793,192,1,14,0.9998978966714213,0.9985724482512389,0.9992347329217847,9807
