class,true_positives,true_negatives,false_positives,false_negatives,precision,recall,f1_score,support
alkene,801,9111,2,86,0.9975093399749692,0.9030439684328181,0.9479289940827841,887
alkyne,0,10000,0,0,0.0,0.0,0.0,0
benzene ring,3757,5949,0,294,0.9999999999999734,0.9274253270797105,0.9623463114753975,4051
naphthalene,156,9823,0,21,0.9999999999993591,0.881355932202892,0.9369369369366556,177
amine,1310,8653,0,37,0.9999999999999236,0.9725315515960673,0.986074520135454,1347
alcohol (aromatic),175,9809,0,16,0.9999999999994287,0.916230366491667,0.9562841530052032,191
alcohol (aliphatic),691,9214,4,91,0.9942446043164036,0.8836317135548741,0.9356804333107017,782
ether (aromatic),1253,8678,0,69,0.9999999999999202,0.9478063540090055,0.9732038834951078,1322
ether (aliphatic),2743,7172,12,73,0.995644283121561,0.97407670454542,0.9847424160832707,2816
alkyl halide (F),895,9104,0,1,0.9999999999998882,0.998883928571317,0.9994416527079285,896
alkyl halide (Cl),735,9257,0,8,0.9999999999998639,0.9892328398383594,0.9945872801081871,743
alkyl halide (Br),0,10000,0,0,0.0,0.0,0.0,0
alkyl halide (I),0,10000,0,0,0.0,0.0,0.0,0
thiol,0,10000,0,0,0.0,0.0,0.0,0
aldehyde,0,10000,0,0,0.0,0.0,0.0,0
ketone (aromatic),172,9814,0,14,0.9999999999994187,0.9247311827952018,0.960893854748335,186
ketone (aliphatic),539,9425,0,36,0.9999999999998144,0.9373913043476629,0.9676840215438988,575
ester (aromatic),522,9432,0,46,0.9999999999998084,0.9190140845068804,0.9577981651375268,568
ester (aliphatic),3708,6064,83,145,0.9781060406225012,0.9623669867635358,0.970172684458386,3853
carboxylic acid,348,9597,0,55,0.9999999999997127,0.8635235732007783,0.9267643142475464,403
amide,1451,8523,1,25,0.9993112947657714,0.9830623306232396,0.9911202185792011,1476
nitrite,0,10000,0,0,0.0,0.0,0.0,0
nitrate,190,9808,0,2,0.9999999999994738,0.989583333332818,0.9947643979054988,192
nitrile,346,9643,0,11,0.999999999999711,0.9691876750697566,0.9843527738263179,357
epoxide,158,9805,0,37,0.9999999999993672,0.8102564102559948,0.8951841359770836,195
imide,380,9595,0,25,0.9999999999997369,0.93827160493804,0.9681528662419149,405
acid chloride,0,10000,0,0,0.0,0.0,0.0,0
anhydride,183,9799,0,18,0.9999999999994537,0.910447761193577,0.9531249999997519,201
nitro (aromatic),207,9787,0,6,0.9999999999995169,0.9718309859150368,0.9857142857140511,213
sulfide,397,9585,0,18,0.9999999999997481,0.9566265060238659,0.9778325123151504,415
sulfone,427,9572,0,1,0.9999999999997659,0.9976635514016361,0.9988304093566083,428
sulfonate,186,9811,0,3,0.9999999999994624,0.9841269841264635,0.9919999999997355,189
azide,0,10000,0,0,0.0,0.0,0.0,0
chlorobenzene,540,9446,0,14,0.9999999999998147,0.9747292418770803,0.9872029250456136,554
bromobenzene,190,9806,0,4,0.9999999999994738,0.9793814432984643,0.9895833333330757,194
siloxane,325,9600,0,75,0.9999999999996924,0.8124999999997969,0.8965517241378074,400
phosphazene,176,9818,0,6,0.9999999999994319,0.9670329670324358,0.9832402234634126,182
phenoxy,176,9818,0,6,0.9999999999994319,0.9670329670324358,0.9832402234634126,182
pyridine,347,9642,0,11,0.9999999999997119,0.969273743016489,0.9843971631204277,358
alkane,9805,187,6,2,0.9993884415451941,0.9997960640358825,0.9995922112345755,9807
