class,true_positives,true_negatives,false_positives,false_negatives,precision,recall,f1_score,support
alkene,2,9112,1,885,0.6666666666444444,0.002254791431792305,0.004494382022471405,887
alkyne,0,10000,0,0,0.0,0.0,0.0,0
benzene ring,4051,0,5949,0,0.40509999999999596,0.9999999999999754,0.5766137641448966,4051
naphthalene,0,9823,0,177,0.0,0.0,0.0,177
amine,1270,6107,2546,77,0.33280922431864957,0.9428359317000042,0.49196203757504375,1347
alcohol (aromatic),0,9809,0,191,0.0,0.0,0.0,191
alcohol (aliphatic),0,9218,0,782,0.0,0.0,0.0,782
ether (aromatic),0,8678,0,1322,0.0,0.0,0.0,1322
ether (aliphatic),0,7184,0,2816,0.0,0.0,0.0,2816
alkyl halide (F),9,9104,0,887,0.9999999999888889,0.010044642857141736,0.01988950276242874,896
alkyl halide (Cl),10,9255,2,733,0.8333333333263889,0.01345895020188244,0.026490066225162052,743
alkyl halide (Br),0,10000,0,0,0.0,0.0,0.0,0
alkyl halide (I),0,10000,0,0,0.0,0.0,0.0,0
thiol,0,10000,0,0,0.0,0.0,0.0,0
aldehyde,0,10000,0,0,0.0,0.0,0.0,0
ketone (aromatic),0,9814,0,186,0.0,0.0,0.0,186
ketone (aliphatic),0,9425,0,575,0.0,0.0,0.0,575
ester (aromatic),504,7783,1649,64,0.23409196470040713,0.8873239436618156,0.3704520396912763,568
ester (aliphatic),0,6147,0,3853,0.0,0.0,0.0,3853
carboxylic acid,0,9597,0,403,0.0,0.0,0.0,403
amide,27,8524,0,1449,0.9999999999962964,0.01829268292682803,0.03592814371257246,1476
nitrite,0,10000,0,0,0.0,0.0,0.0,0
nitrate,0,9808,0,192,0.0,0.0,0.0,192
nitrile,0,9643,0,357,0.0,0.0,0.0,357
epoxide,0,9805,0,195,0.0,0.0,0.0,195
imide,0,9595,0,405,0.0,0.0,0.0,405
acid chloride,0,10000,0,0,0.0,0.0,0.0,0
anhydride,0,9799,0,201,0.0,0.0,0.0,201
nitro (aromatic),0,9787,0,213,0.0,0.0,0.0,213
sulfide,0,9585,0,415,0.0,0.0,0.0,415
sulfone,0,9572,0,428,0.0,0.0,0.0,428
sulfonate,0,9811,0,189,0.0,0.0,0.0,189
azide,0,10000,0,0,0.0,0.0,0.0,0
chlorobenzene,0,9446,0,554,0.0,0.0,0.0,554
bromobenzene,0,9806,0,194,0.0,0.0,0.0,194
siloxane,0,9600,0,400,0.0,0.0,0.0,400
phosphazene,0,9818,0,182,0.0,0.0,0.0,182
phenoxy,0,9818,0,182,0.0,0.0,0.0,182
pyridine,0,9642,0,358,0.0,0.0,0.0,358
alkane,9807,0,193,0,0.9806999999999901,0.9999999999999898,0.9902559701115718,9807
