class,true_positives,true_negatives,false_positives,false_negatives,precision,recall,f1_score,support
alkene,528,9021,92,359,0.8516129032256691,0.5952649379931685,0.7007299270072528,887
alkyne,0,10000,0,0,0.0,0.0,0.0,0
benzene ring,3674,5826,123,377,0.9676060047405591,0.9069365588743297,0.9362895005096721,4051
naphthalene,95,9823,0,82,0.9999999999989474,0.5367231638415048,0.698529411764449,177
amine,1211,8597,56,136,0.9558011049723002,0.8990348923533111,0.9265493496556646,1347
alcohol (aromatic),132,9803,6,59,0.9565217391297417,0.6910994764394288,0.8024316109420053,191
alcohol (aliphatic),411,9083,135,371,0.7527472527471148,0.5255754475702652,0.6189759036144112,782
ether (aromatic),1088,8614,64,234,0.9444444444443624,0.8229954614220255,0.8795472918350493,1322
ether (aliphatic),2306,6962,222,510,0.9121835443037614,0.8188920454545163,0.8630239520957922,2816
alkyl halide (F),882,9104,0,14,0.9999999999998865,0.9843749999998901,0.9921259842519127,896
alkyl halide (Cl),703,9257,0,40,0.9999999999998577,0.9461641991923356,0.9723374827108594,743
alkyl halide (Br),0,10000,0,0,0.0,0.0,0.0,0
alkyl halide (I),0,10000,0,0,0.0,0.0,0.0,0
thiol,0,10000,0,0,0.0,0.0,0.0,0
aldehyde,0,10000,0,0,0.0,0.0,0.0,0
ketone (aromatic),120,9813,1,66,0.991735537189263,0.6451612903222338,0.7817589576544686,186
ketone (aliphatic),397,9424,1,178,0.997487437185679,0.6904347826085755,0.8160328879752501,575
ester (aromatic),353,9431,1,215,0.9971751412426562,0.6214788732393272,0.7657266811278995,568
ester (aliphatic),3444,5669,478,409,0.8781234064252709,0.8938489488709864,0.885916398713815,3853
carboxylic acid,205,9595,2,198,0.9903381642507294,0.508684863523447,0.6721311475408733,403
amide,1383,8438,86,93,0.9414567733151162,0.9369918699186357,0.9392190152801039,1476
nitrite,0,10000,0,0,0.0,0.0,0.0,0
nitrate,182,9808,0,10,0.9999999999994507,0.947916666666173,0.9732620320853013,192
nitrile,297,9642,1,60,0.996644295301679,0.8319327731090107,0.906870229007495,357
epoxide,44,9803,2,151,0.9565217391283554,0.22564102564090993,0.3651452282156161,195
imide,330,9572,23,75,0.9348441926342961,0.8148148148146136,0.870712401055294,405
acid chloride,0,10000,0,0,0.0,0.0,0.0,0
anhydride,90,9797,2,111,0.978260869564154,0.447761194029628,0.6143344709895514,201
nitro (aromatic),196,9787,0,17,0.9999999999994899,0.9201877934267981,0.9584352078237266,213
sulfide,381,9584,1,34,0.9973821989526185,0.9180722891564053,0.9560853199496918,415
sulfone,408,9570,2,20,0.9951219512192695,0.9532710280371605,0.9737470167063277,428
sulfonate,175,9806,5,14,0.9722222222216822,0.9259259259254361,0.948509485094594,189
azide,0,10000,0,0,0.0,0.0,0.0,0
chlorobenzene,533,9445,1,21,0.9981273408237831,0.9620938628157107,0.9797794117646158,554
bromobenzene,186,9806,0,8,0.9999999999994624,0.958762886597444,0.978947368420795,194
siloxane,239,9597,3,161,0.9876033057847159,0.5974999999998506,0.7445482866042453,400
phosphazene,161,9813,5,21,0.9698795180717049,0.8846153846148986,0.9252873563215732,182
phenoxy,161,9813,5,21,0.9698795180717049,0.8846153846148986,0.9252873563215732,182
pyridine,326,9612,30,32,0.9157303370783945,0.9106145251394104,0.9131652661063147,358
alkane,9780,180,13,27,0.998672521188594,0.9972468644845417,0.9979591836734644,9807
