Class No.,Functional Group,Sensitivity,Total Frequency
0,alkene,0.808955223880597,1739
1,alkyne,,0
2,benzene ring,0.9185232336091661,8039
3,naphthalene,0.7142857142857143,361
4,amine,0.9065420560747663,2569
5,alcohol (aromatic),0.7241379310344828,375
6,alcohol (aliphatic),0.8526645768025078,1448
7,ether (aromatic),0.8842975206611571,2471
8,ether (aliphatic),0.9252173913043479,5476
9,alkyl halide (F),0.9813829787234043,1882
10,alkyl halide (Cl),0.9737827715355806,1405
11,alkyl halide (Br),,0
12,alkyl halide (I),,0
13,thiol,,0
14,aldehyde,,0
15,ketone (aromatic),0.7941176470588235,366
16,ketone (aliphatic),0.8938775510204081,1093
17,ester (aromatic),0.8538812785388128,1111
18,ester (aliphatic),0.9303090072320842,7634
19,carboxylic acid,0.8235294117647058,737
20,amide,0.9383333333333334,2903
21,nitrite,,0
22,nitrate,0.9642857142857143,365
23,nitrile,0.94375,781
24,epoxide,0.6140350877192983,352
25,imide,0.9197080291970803,714
26,acid chloride,,0
27,anhydride,0.8918918918918919,1177
28,nitro (aromatic),0.972972972972973,368
29,sulfide,0.9383561643835616,743
30,sulfone,0.975609756097561,753
31,sulfonate,0.9318181818181818,400
32,azide,,0
33,chlorobenzene,0.9198113207547169,1125
34,bromobenzene,0.9594594594594594,383
35,siloxane,0.8695652173913043,712
36,phosphazene,0.9863013698630136,371
37,phenoxy,0.9863013698630136,371
38,pyridine,0.9430379746835443,736
